Service Name,Service Alternate Name,Category,Organization,Main Phone Number,Alternative Phone Number,Fax Number,Street Address,City,State,ZIP Code,URL,Description
Cancer Patient Resources,,Cancer Patient Resources, Allyson Whitney Foundation “Life Interrupted Grant”,,,,PO BOX 586,Rock Hill,NY,12775,grants@allysonwhitney.org,"A non-profit organization that empowers and fights for the interest of young adults with rare cancers.  Our vision is to improve the quality of life, as well as provide emotional support for our patients.  Allyson Whitney Foundation primarily provides individuals with “life interrupted grants” to ease financial burden so that they can concentrate their energy on healing."
Cancer Patient Resources,,Cancer Patient Resources, David Andrew “Pooh” Maddan Foundation (AKA DAM-Cancer Foundation),,,,PO BOX 13386,Palm Desert,CA,92255,www.DAM-Cancer.org,Focused on providing financial assistance to young adults diagnosed with cancer and to fund innovative cancer treatments and research.
Cancer Patient Resources,,Cancer Patient Resources, Cleaning for a Reason,877-337-3348,,,,,,,cleaningforareason.org,Two free home cleanings for patients in active cancer treatment by professional residential cleaning services
Cancer Patient Resources,,Cancer Patient Resources, Gateway to Hope,,,,,,,,http://www.gthstl.org/ ,Helps with Insurance Premiums; active treatment.  Income guidelines must be met.
Cancer Patient Resources,,Cancer Patient Resources, Susan G. Komen,1-877-465-6636,,,,,,,www5.komen.org,"Financial assistance is granted to women who meet pre-determined eligibility criteria. To learn more about this program and other helpful resources, call the Komen Breast Care Helpline at 1-877 GO KOMEN (1-877-465-6636).  "
Child Care Providers,,Child Care Providers,Child Care Aware,1-800-743-8497,,,,,,,www.mo.childcareaware.org,Links to various childcare services/providers
Child Care Providers,,Child Care Providers,Dept. of Social Services - Child Care,417-629-3050,855-373-4636,,601 Commercial,Joplin,MO,64801,,"Can help with payment to child care provider.  Must meet income requirement, working at a job, and have a child 13 years of age or younger.  (going to school or health reasons)"
Child Care Providers,,Child Care Providers,YMCA,417-781-9622,,,3404 McIntosh Cir,Joplin,MO,64804,,After school and summer programs for ages 4 - 13 years of age.  Financial aid available.
Child Care Providers,,Child Care Providers,KACCRRA Kansas Association of Child Care Resource and Referral Agencies,1-877-672-2548,,,P.O. Box 2294,Salina,KS,67402,www.kaccrra.org,Information about local child care providers
Child Care Providers,,Child Care Providers,Oklahoma Child Care Locator,,,,,,OK,,http://childcarefind.okdhs.org/childcarefind/,Oklahoma Department of Human Services online child care locator
Child Care Providers,,Child Care Providers,Oklahoma Child Care Resource and Referral Association,1-888-962-2772,,,,,OK,,https://www.oklahomachildcare.org ,Links to various child care services and providers
Counseling Services,,Counseling Services,Allied Mental Health,417-876-7676,,,118 North Main Street,El Dorado Springs,MO,64744,,Counseling services.
Counseling Services,,Counseling Services,Allied Mental Health,417-682-5757,,,1107 Broadway St,Lamar,MO,64759,,Counseling services.
Counseling Services,,Counseling Services,Allied Mental Health,417-843-2130,,,148 Main St,Liberal,MO,64762,,Counseling services.
Counseling Services,,Counseling Services,Allied Mental Health,417-684-2644,,,129 N Main St,Nevada,MO,64772,,Counseling services.
Counseling Services,,Counseling Services,Applied Psychological Services,417-627-9601,,,"2700 N. Rangeline, Suite 101",Joplin,MO,64801,www.apsjoplin.com,"Provides individual and family counseling for adults and children, as well as personality disorder testing, IQ, educational testing, and any other general psychological evaluations."
Counseling Services,,Counseling Services,Behavior Management Associates,417-782-1910,,,2702 Cunningham Ave. Ste A,Joplin,MO,64804,www.behaviormgt.com,Psychologist Office
Counseling Services,,Counseling Services,BHG Joplin Treatment Center,417-782-7966,,,2919 E. 4th St,Joplin,MO,64801,,Substance use treatment and counseling.
Counseling Services,,Counseling Services,Central Christian Center,417-781-5982,,,410 S. Virginia,Joplin,MO,64801,,"Spiritual Counseling for life issues such as marriage, substance abuse, families or individuals. "
Counseling Services,,Counseling Services,Christian Counseling Center,417-624-9659,,,"2810 Mount Hope Road,",Webb City,MO,64870,,"Therapy, Individual adjustment, child & family counseling, crisis grief counseling, couples communication and stress management, divorce recovery groups, two support groups.  Sliding scale based on annual income $60.00 - $95 / session.  Files for Medicaid."
Counseling Services,,Counseling Services,Clark Center Mental Health,417-235-6610,800-801-4405,,1701 N. Central,Monett,MO,65708,,Case management and Life Skills Training
Counseling Services,,Counseling Services,Clark Center Mental Health,417-476-1000,,,104 W Main St,Pierce City,MO,65723,,Crisis Services.  Case Management.  Outpatient services. Counseling and behavioral health support.
Counseling Services,,Counseling Services,College Skyline Center,417-782-1443,,,1230 N. Duquesne Rd,Joplin,MO,64801,,"One on one counseling, Adoption support, Anger management."
Counseling Services,,Counseling Services,Community Counseling Center of Joplin,417-781-7706,,,2401 North Main Street,Joplin,MO,64801,,"Couples Counseling. Alternate address: 1102 W. 9th St, Joplin, MO  64801"
Counseling Services,,Counseling Services,Counseling Associates of the Four States,417-627-9994 ,,,705 W 26th St,Joplin,MO,64804,www.counselingjoplin.com,"Individual, Marital, relationship, family, & group counseling"
Counseling Services,,Counseling Services,Cox North Children Psychiatric Hospital,417-269-3000,,,1423 N Jefferson Ave,Springfield,MO,65803,,"Psychiatric Hospital and Treatment center for children, adolescents and seniors."
Counseling Services,,Counseling Services,Dr. Frisbie & Dr. Gerhart,417-624-4475,,,2914 E. 32nd St. Ste. 307,Joplin,MO,64804,,"Counseling, ADHD testing and other Assessment Testing;   Accepts Medicaid, Medicare and other insurances.  Also Sliding Fee Scale."
Counseling Services,,Counseling Services,Freeman Inpatient Adult Stephens Unit  ,417-347-5800,,,"932 E 34th St,",Joplin,MO,64804,,Inpatient adult psychiatric care.
Counseling Services,,Counseling Services,Freeman Senior Serenity Geropsychiatric unit ,417-347-7000,,,932 E. 34th St.,Joplin,MO,64804,,"Inpatient adult psychiatric care for senior citizens who need help with memory disorders, Alzheimer’s disease, depression and other mental health changes associated with aging."
Counseling Services,,Counseling Services,Healing the Family Counseling Center,417-624-8333,,,"2914 E 32nd St, Ste 308",Joplin,MO,64804,,"Child therapy, ADD tutoring Child Behavior Mgmt. Groups, Parenting Classes, Anger Mgmt., Individual counseling, Marriage, Couples, Adult & Family Counseling, and Adult Survivor Groups."
Counseling Services,,Counseling Services,Heartland Behavioral Health Services,1-800-654-9605,,,1500 W Ashland St,Nevada,MO,64772,,Pediatric residential treatment and acute hospitalization for Ages 4-17.
Counseling Services,,Counseling Services,Herndon Snider & Associates,417-623-1381,,,2650 E. 32nd St. Ste. 221,Joplin,MO,64804,,"Counseling, Psych/Educ. Testing"
Counseling Services,,Counseling Services,House of Hope,417-624-4833,,,614 S. Wall,Joplin,MO,64801,,In/Out-patient counseling for teenagers
Counseling Services,,Counseling Services,Lafayette House,417-782-1772,,,1809 Connor Avenue,Joplin,MO,64804,,SATOP & REACT Screening
Counseling Services,,Counseling Services,Lakeland Behavioral Health System,844-868-8360,,,440 S Market Ave,Springfield,MO,65806,,"Psychiatric Hospital and Treatment center for children, adolescents and seniors."
Counseling Services,,Counseling Services,Lost & Found (The Connor House),417-865-9998,,,1006 N. Cedarbrook Ave,Springfield,MO,65802,,"Free grief counseling, limited gas vouchers to help w/cost of travel"
Counseling Services,,Counseling Services,Mercy Behavioral Health Services,417-625-2354,417-781-7337,,5615 W 32nd St,Joplin,MO,64804,,Adult In/Out Patient Behavioral Health
Counseling Services,,Counseling Services,MO Dept. of Mental Health,1-800-364-9687,,,,,MO,,dmh.mo.gov,"Psych Services, Developmental, Addictions Housing"
Counseling Services,,Counseling Services,Mt. Hope Christian Counseling,417-324-1795,,,2830 Mt. Hope Road,Webb City,MO,,https://www.mthope.church/counseling,"Our counselors draw upon their professional training, formal education and experiences to address the unique mental, emotional, spiritual and relational needs of each person.
 While we are committed to a Christian perspective in approaching mental health issues, we are also sensitive to perspectives of others and those who do not identify with the faith."
Counseling Services,,Counseling Services,NAMI Joplin  (National Alliance on Mental Illness),417-781-6264,,,1601 S. Wall,Joplin,MO,,,"Self-help, support, and advocacy organization for individuals w/mental illness & their families/friends. Alternate address: 2701 Davis Blvd., Joplin, MO 64804"
Counseling Services,,Counseling Services,Options Outpatient Counseling,417-782-7700,417-782-7600,,2401 North Main,Joplin,MO,,,"Alternate address: 1515 W. 10th St., Suite E, Joplin, MO. Individual, Group & Family, Marriage therapy.  Mental health testing and evaluation.  Education / career testing - substance abuse screening & counseling.  Employee assistance program."
Counseling Services,,Counseling Services,Ozark Center,417-347-7600,,,1105 E. 32nd St,Joplin,MO,,,"Individual, Group, Family & Marriage counseling.  Substance abuse.    In / Out Children and Adult Services"
Counseling Services,,Counseling Services,Ozark Center - Will's Place,417-347-7580,,,1800 W. 30th St,Joplin,MO,,,Open Access intake assessments 8-5 MWF for Medicaid eligible children 18 and under
Counseling Services,,Counseling Services,Parenting Solutions,417-623-2345,,,2906 S Main St,Joplin,MO,,,"Counseling, parent aids, parenting classes"
Counseling Services,,Counseling Services,Preferred Family Healthcare, 417-626-0008,,,710 S Maiden Ln,Joplin,MO,,,"Focus on Drug treatment/Mental Health  of youth ages 12- 17.  Ed groups available, limited transportation to group / Counseling available."
Counseling Services,,Counseling Services,Psychiatric Care Service,417-667-2666,,,1500 W. Ashland,Nevada,MO,,,"Individual, family, marriage, group therapy, child evaluations diagnosis & consultation, psychological eval, aftercare from hospitalization, crisis intervention, grief counseling and much more."
Counseling Services,,Counseling Services,Psychological Associates,417-624-7002,,,1840 N. Rangeline Rd,Joplin,MO,,,"Counseling, Mental Health, Substance Abuse, Marriage, etc."
Counseling Services,,Counseling Services,"Royal Oaks, Children Psychiatric Hospital ",417.456.2634,,,307 N Main St,Windsor,MO,,,"Serve all acute behavioral health care inpatient needs for children, adolescents and adults 24 hours a day, 7 days a week."
Counseling Services,,Counseling Services,Southern Light Counseling,417-781-4552,,,707 S. Pearl,Joplin,MO,,,"  In home therapy, family, grief counseling available, Supervised Visitation, Parent Skills Training and in office Trauma Autism services.  Children spiritual direction."
Counseling Services,,Counseling Services,Stephens Adult Inpatient Psychiatric Unit,417-347-5800,,,932 E. 34th St,Joplin,MO,,,"To access, go to ER at Freeman West"
Counseling Services,,Counseling Services,Thompson & McGregor,417-627-9968,,,1105 E 32nd St Ste 4,Joplin,MO,,,Therapists/Psychologists
Counseling Services,,Counseling Services,SIDS Resources Inc.,314-241-7437,800-421-3511,,"120 S. 6th Street, Ste. 500",St. Louis,MO,,http://infantlossresources.org/  ,Contact: Sara Tamburrino STamburrino@sidsresources.org. Bereavement Support after sudden and unexpected death of a baby up to 1 year of age.  St. Louis is main office but services are provided for Southwest and Southcentral Missouri
Counseling Services,,Counseling Services,Turnaround Ranch Youth residential ,417-347-7860,,,1949 S Snowberry Ln,Joplin,MO,,,"Turnaround Ranch, a 72-bed residential treatment facility for adolescents ages 10–18, provides 24-hour care for youths experiencing emotional and behavioral problems."
Counseling Services,,Counseling Services,Children's Advocacy Center,620-235-0067,,,123 W Adams,Pittsburg,KS,,,Prevention of childhood abuse
Counseling Services,,Counseling Services,Crawford Mental Health,620-231-5130,,,911 E. Centennial,Pittsburg,KS,,,"Adult Services, Substance Abuse Services, Crisis Services Available and Children's Services"
Counseling Services,,Counseling Services,Counseling and Recovery Services of Oklahoma,918-492-2554 ,,,"7010 South Yale, Ste 215",Tulsa,OK,,,Helping build better lives through behavioral health and substance abuse services.
Counseling Services,,Counseling Services,Preferred Family Healthcare,918-675-4032,,,900 A St,Commerce,OK,,,"Focus on Drug treatment/Mental Health  of youth ages 12- 17.                    Ed groups available, limited transportation to group / Counseling available."
CAMP-College Assistance Migrant Program,,Cultural Needs,Crowder College,417-455-5654,,,601 Laclede,Neosho,MO,64850,,"CAMP provides financial assistance for tuition, student fees, textbooks, room and board and a monthly stipend to off-set personal needs."
Cultural Needs,,Cultural Needs,American Civil Liberties Union of Kansas & WMO,816-756-3113                              ,913-490-4100 ,,P.O. Box 917,Mission,KS,66201, https://www.aclukansas.org/en,Defend and preserve the individual rights and liberties guaranteed by the Constitution and laws of the United States.
Cherokee Nation,,Cultural Needs,W.W. Keeler Tribal Complex ,800-256-0671,,,17675 S. Muskogee Ave.,Tahlequah,OK,74464,https://www.cherokee.org/,"As a government, the Cherokee Nation provides a number of important services to its citizens and to other Native Americans. "
"Deaf - Hearing Services, Developmental Disabilities",,"Deaf - Hearing Services, Developmental Disabilities",Alternative Opportunities,417-659-9911,,,2709 W 13th Street,Joplin,MO,64804,,"Specialized services for people who are deaf or hard of hearing; Learning, physical, or mental disabilities evaluated"
Deaf - Hearing Services,,Deaf - Hearing Services,Area Hearing & Speech Clinic,417-781-2311,,,2311 S. Jackson,Joplin,MO,64804,,Complete audiological services for adults & children.                                       Accepts Missouri Medicaid for those under 21 yrs old   Speech Therapy
Deaf - Hearing Services,,Deaf - Hearing Services,Children's Miracle Network,417-347-6639    ,417-347-3793,,1102 W. 32nd Street,Joplin,MO,64804,,Hearing Aids.  Must apply for funding.  Call for more info.  
Deaf - Hearing Services,,Deaf - Hearing Services,Starkey Hearing Foundation,866-354-3254,,,"6801 Washington Ave S, Ste 200",Minneapolis,MN,55439,,Starkey Hearing Foundation gives the gift of hearing to people in need in the U.S. and around the world.
Midwest Ear Institute,,Deaf - Hearing Services,St. Luke's Hospital,816-932-1660,,,"4320 Wornall Rd, #420",Kansas City,MO,64111,stlukeskc.org,"Offer patients the full range of hearing restoration services, from comprehensive diagnostics to hearing and balance treatment and our acclaimed cochlear implant program."
Show Me Loans,,Deaf - Hearing Services,Missouri Assistive Technology,800-647-8557,,,,,,,at.mo.gov,"1) Adaptive Phones for Vision and Hearing and Mobility Challenges.   Needs met for home phones and cell phones or Ipads.                                                 2) Adaptive Computer Needs                                   3) Adaptive Loans - If qualify can get in 3 weeks.   2 - 4 % interest on the loan.                                                             4) Vehicle Loans - for specialized vehicles.                                                          5) ""Money follow the Person"" - If qualify - $5000 grant to help them get home from nursing facilities after 60 / 90 day stay.                                                 6) Assisted Technology Kids Grant for people under 20 years old."
Deaf - Hearing Services,KCDHH,Deaf - Hearing Services,The Kansas Commission for the Deaf and Hard of Hearing (1),620-429-3014,800-766-3777,,215 East Maple                                                                                                                     ,Columbus  ,KS,66725,,"The mission of KCDHH is to advocate for and facilitate equal access to quality, coordinated and comprehensive services that enhance the life of Kansans who are deaf and hard of hearing. KCDHH offers technical assistance, advocacy, information and referral, sign language interpreter registration, coordination of interpreting services, and the Kansas Quality Assurance Screening (KQAS) for certification of sign language interpreters."
Deaf - Hearing Services,KCDHH,Deaf - Hearing Services,The Kansas Commission for the Deaf and Hard of Hearing (2),620-431-5000,620-431-500 x 242,,203 E. 21st Street,Chanute,KS,66720,,"The mission of KCDHH is to advocate for and facilitate equal access to quality, coordinated and comprehensive services that enhance the life of Kansans who are deaf and hard of hearing. KCDHH offers technical assistance, advocacy, information and referral, sign language interpreter registration, coordination of interpreting services, and the Kansas Quality Assurance Screening (KQAS) for certification of sign language interpreters."
Deaf - Hearing Services,TSHA,Deaf - Hearing Services,Tulsa Speech and Hearing Association,918-834-4239,888-311-3523,918-834-4329,8740 E 11th St                                                                     ,Tulsa,OK,74112,,"Community resource agency providing services to those who are deaf, hard of hearing, affected by hearing loss or just an interested party. "
Deaf and Hard of Hearing Services,,Deaf - Hearing Services,Oklahoma Department of Rehabilitation Services,918-836-5556,,918-835-2358,"8740 E 11th Street, Suite F",Tulsa,OK,,,"DRS services for those with hearing loss include a variety of programs and informational services. We provide services to individuals who are Deaf, hard of hearing, late-deafened, deaf-blind and those with speech impairments. "
Affordable Hearing Aid Project,,Deaf - Hearing Services,Lion's Club,630-203-3837,,,300 W. 22nd Street,Oak Brook,IL,60523,www.lcif.org,"Lions AHAP is a program of Lions Clubs International Foundation (LCIF) that provides Lions in the United States with high-quality, low-cost hearing aids for distribution to underserved populations in their service areas."
Dental Care,,Dental Care,Access Dental Clinics (1),417-782-0080,,,530 S. Maiden Lane                                                                                                                                                                                                                                                                    ,Joplin,MO,64801,www.accessfamilycare.org,"We provide full service dentistry, from general cleanings, to root canals and crowns!  If you wish to schedule a dental appointment, please call the Dental Clinic nearest you."
Dental Care,,Dental Care,Access Dental Clinics (2) (Carthage Dental Clinic),417-674-2141,,,215 E. 3rd St,Carthage,MO,64836,www.accessfamilycare.org,"Will accept all ages without insurance, will be placed on sliding scale based on income.  Medicaid for Children and Pregnant moms on Medicaid accepted."
Dental Care,,Dental Care,Access Dental Clinics (3),417-451-0977,,,516 W. McCord St.,Neosho,MO,64850,www.accessfamilycare.org,"We provide full service dentistry, from general cleanings, to root canals and crowns!  If you wish to schedule a dental appointment, please call the Dental Clinic nearest you."
Dental Care,,Dental Care,Access Dental Clinics (4),417-845-2273,,,927 N. Business 71,Anderson,MO,64831,www.accessfamilycare.org,"We provide full service dentistry, from general cleanings, to root canals and crowns!  If you wish to schedule a dental appointment, please call the Dental Clinic nearest you."
Dental Care,,Dental Care,Access Dental Clinics (5),417-549-6845,,,204 N. Cedar,Nevada,MO,64772,www.accessfamilycare.org,"We provide full service dentistry, from general cleanings, to root canals and crowns!  If you wish to schedule a dental appointment, please call the Dental Clinic nearest you."
Dental Care,,Dental Care,Access Dental Clinics (6),417-847-0057,,,4016 Main St,Cassvillle,MO,65625,www.accessfamilycare.org,"We provide full service dentistry, from general cleanings, to root canals and crowns!  If you wish to schedule a dental appointment, please call the Dental Clinic nearest you."
Dental Care,,Dental Care,Community Clinic of Joplin,417-624-5500,,,701 S. Joplin                                                                                  ,Joplin,MO,64801,,People who do not have insurance
Dental Care,,Dental Care,Joplin Health Dept.  for Children,417-623-6122,,,321 E. 4th St                                                                           ,Joplin,MO,64810,,"Child Shots, WIC"
Dental Care,,Dental Care,Mid-America Dental & Hearing,800-354-1905,,,1050 Hayward Dr                                                                 ,Mt. Vernon,MO,65712,http://www.midamericadental.com/,Denture and dental services at a reasonable price.
Dental Care,,Dental Care,Miles for Smiles ,417-328-6334,,,1500 N. Oakland                                                                    ,Bolivar,MO,65613,,Mobile dental clinic for elementary students.  Serves 3 - 18 yr olds who either are covered by Medicaid or no insurance.
Dental Care,,Dental Care,Missouri Donated Dental Services            , 866-792-9988,573-636-4440,,P.O. Box 105919,Jefferson City,MO,65110,https://dentallifeline.org/our-state-programs/    ,"Comprehensive dental care at no charge for  65 +, disabled or low income clients.  Could be up to a year wait. "
Dental Care,,Dental Care,MSSU Dental Hygiene Clinic,417-625-9711,417-625-9709 ,,3950 E. Newman Rd                                                                 ,Joplin,MO,64801,,"Students provide care and are supervised by faculty.                                    $30 Cleanings, x-rays, sealants; Children over 5 yrs. & Adults     Assessment, radiographs, preventive, periodontal treatment, and educational services."
Dental Services,,Dental Care,Southeast Kansas Community Clinic (1),620-856-2900,,,2990 Military Avenue,Baxter Springs,KS,66713,,"Community Health Center of Southeast Kansas (CHC/ SEK)  has been providing dental care since 2005. We now have dental clinics in a number of our communities that provide a variety of dental care including:                                                            •Ongoing, comprehensive dental care                                                                      •Same day urgent care
"
Dental Services,,Dental Care,Southeast Kansas Community Clinic (2),620-380-6600,,,2051 North State Street,Iola,KS,66749,,"Community Health Center of Southeast Kansas (CHC/ SEK)  has been providing dental care since 2005. We now have dental clinics in a number of our communities that provide a variety of dental care including:                                                            •Ongoing, comprehensive dental care                                                                      •Same day urgent care
"
Dental Services,,Dental Care,Southeast Kansas Community Clinic (3),620-231-6788,,,924 N. Broadway,Pittsburgh,KS,66762,,"Community Health Center of Southeast Kansas (CHC/ SEK)  has been providing dental care since 2005. We now have dental clinics in a number of our communities that provide a variety of dental care including:                                                            •Ongoing, comprehensive dental care                                                                      •Same day urgent care
"
Dental Care,,Dental Care,Tulsa Oklahoma Free Dental Care Clinics,,,,,,,,https://www.freedentalcare.us/ci/ok-tulsa,Website link is to 7 clinics that provide free or reduced cost dental care.
Dental Care,,Dental Care,Sooner Dental Care,918-742-1480,,,"3150 East 41st Street, Ste.100",Tulsa,OK,74105,,"Accept SoonerCare and all Major Insurance Providers.  
Providing excellent general dental care is the first step to ensuring our patients achieve this goal. Our general dentistry services consist of the management and overall coordination of dental services to best meet our patients oral health needs. This is usually done in two steps, an initial examination and the development of a treatment plan.
 
 
"
Dental Care,,Dental Care,Smiles4Life,918-599-8383,,,"401 S Utica Avenue, Ste A",Tulsa,OK,74104,www.smiles4lifetulsa.com,"Family dental clinic serving patients of all ages. At our office, a trip to the dentist is exactly how it should be: Fast, fun and with plenty of goodies to make your appointment even more enjoyable."
Dental Care,,Dental Care,Free Dental Care,,,,,,,,https://www.freedentalcare.us/,Website links to free and reduced cost dental clinics nationwide.
Autism Support Group,,Developmental Disabilities,Bill & Virginia Leffen Center for Autism,417-347-7850,,,3230 Wisconsin,Joplin,MO,64804,,"3rd Friday @ 8:30, 1st Tuesday @ 6:00; Provides one-to-one intensive therapy for children w/Autism, diagnostic team, special education center for children w/Autism, Out-patient therapy, Support groups, adult services"
Developmental Disabilities,,Developmental Disabilities,Department of Health - Bureau of Specia Healthcare Needs,417-673-5740                 ,417-623-6122,,321 E 4th St,Joplin,MO,64801,,"Assessment and evaluation of in home medical services children might need, this could include home nursing service or personal care nursing assistance.  Referrals also made to HOPE program, this program can assist with surgery costs, client must have medical insurance - not Medicaid - and is income based to qualify for HOPE program. "
Developmental Disabilities,,Developmental Disabilities,Camp Barnabas,417-886-9800,417-476-2565,,901 Teas Trail 2060,Purdy,MO,65734,https://www.campbarnabas.org/,"Camp Barnabas is a unique ministry providing Christian camping experiences to individuals with special needs and chronic illnesses, along with their siblings. "
Developmental Disabilities,,Developmental Disabilities,Cerebral Palsy Center,417-673-4940,,,1401 W. Austin,Webb City,MO,64870,,"For developmental disabled children -Occupational, Physical, Speech therapy - developmental skills for handicapped."
Children with Special Health Care Needs Programs,,Developmental Disabilities,Missouri Department of Health and Senior Services,573-751-6246,800-451-0669,573-751-6237,PO Box 570,Jefferson City,MO,65102,,The CYSHCN Program provides assistance statewide for children and youth with special health care needs from birth to age 21. 
Developmental Disabilities,,Developmental Disabilities,Clark Center,417-235-6610,,,1701 N. Central                                                                     ,Monett,MO,65708,,Case management and Life Skills Training
Developmental Disabilities,,Developmental Disabilities,College View Schools for Severally Disabled,417-629-3044,,,101 N. Goetz                                                                       ,Joplin,MO,64801,,Children ages 4-21
Developmental Disabilities,,Developmental Disabilities,Community Support Services,417-624-4515,,,2312 Annie Baxter                                                             ,Joplin,MO,64804,,"In-home care & support for people w/developmental disabilities. Accepts Medicaid, Early Childhood, and Behavioral Fitness."
Developmental Disabilities,,Developmental Disabilities,Connections Case Management,417-206-2886,,,1727 W. 26th St                                                                  ,Joplin,MO,64804,,"Provides case management services to those with developmental disabilities, including children and adults (Must go through Joplin Regional Center first)"
Developmental Disabilities,,Developmental Disabilities,Department of Vocational Rehabilitation,417-629-3067,,,801 E. 15th St                                                                            ,Joplin,MO,64804,,Helps adults (aged 18+) with mental and/or physical disabilities obtain & maintain employment.
Developmental Disabilities,,Developmental Disabilities,Easter Seals Midwest,417-781-3616,417-890-1399,,3909 E. 20th St                                                                                                                                         ,Joplin,MO,64801,,Autism Services /Day Services Adults                                                     Children with disabilities in 4 county area.  
Developmental Disabilities,,Developmental Disabilities,Employment Services Preferred Family Disabled Employment,417-659-9911,,,405 E 4th St                                                                                     ,Joplin,MO,64801,,Provides support system to clients with disabilities in the job search progress.  Must be approved through Vocational Habitation / Regional Center.  Have merged with Lakes Country Rehabilitation.
Developmental Disabilities,,Developmental Disabilities,First Steps & Jasper County Support Services,417-623-3243                                                             ,417-624-4515,,2313 Annie Baxter                                                                ,Joplin,MO,64804,,Education for children 3 & under. Call for more info.                                                            Work w/health & developmental disabilities.
Developmental Disabilities,,Developmental Disabilities,"(Missouri) First Step, Early Intervention",1-866-583-2392  ,417-623-3243,,2312 Annie Baxter Ave                                                     ,Joplin,MO,64804,,First Steps offers coordinated services and assistance to young children with special needs and their families. 
Developmental Disabilities,,Developmental Disabilities,Independent Living Center,417-659-8086,,,2639 34th Street                                                                 ,Joplin,MO,64804,,"Serves people with disabilities, ISL, day programs & Senior Services.  To remove barriers and encourage independence."
Developmental Disabilities,,Developmental Disabilities,Joplin Regional Center ,417-629-3020,,,3600 Newman Rd                                                               ,Joplin,MO,64804,,Resource locator for disabled persons.                                                                    Free in-home care & support for people w/developmental disabilities.
Developmental Disabilities,,Developmental Disabilities,Joplin Sheltered Workshop,417-781-2862,,,520 Michigan Ave                                                                   ,Joplin,MO,64801,,Employment for people w/disabilities. Manufacture recycling 
Developmental Disabilities,,Developmental Disabilities,Ozark Center for Autism (Bill & Virginia Leffen Center                    for Autism),,,,2808 S Picher Ave                                                                ,                                                                Joplin,MO,64804,https://www.freemanhealth.com/ozarkcenter/services/autism-services/,"Bill & Virginia Leffen Center for Autism offers gold-standard diagnostic, treatment and education services for individuals with autism spectrum disorders."
Developmental Disabilities,,Equestrian Therapy,"Trinity Circle Horse, Neosho",417-455-1200,,,7370 Marten Rd                                                                     ,Neosho,MO,64850,www.TCHHH.org,"Equine, horse therapy."
Developmental Disabilities,,Developmental Disabilities,"Special Ed. Cooperative of Barton, Dade, and Jasper Counties",417-232-4562,,,208 E 5th St                                                                              ,Lockwood,MO,65682,http://www.bdjcoop.org/,Assist local school districts in providing special education services to their students. 
Developmental Disabilities,,Developmental Disabilities,State School for the Severely Handicapped,417-629-3044,,,1101 N Goetz Blvd                                                               ,Joplin,MO,64801,https://dese.mo.gov/college-view-school,"Missouri Schools for the Severely Disabled will ensure students learn authentic skills in a safe environment to be productive and integrated into their home, community, leisure and work."
Home and Community Based Services,,Developmental Disabilities,Kansas Department for Aging and Disability Services,785-296-4983,,, 503 S Kansas Ave,"Topeka, KS 66603  ",KS,66603,,The Autism (AU) waiver provides support and training to parents of children with an Autism Spectrum Disorder (ASD) diagnosis to help ensure children with ASD can remain in their family home
Developmental Disabilities Services,,Developmental Disabilities,OK Department of Human Services,405-521-3571,,,"2400 N. Lincoln Blvd.
Oklahoma City, OK  73105",Oklahoma City,OK,73105,http://www.okdhs.org/services/dd/Pages/default.aspx,
Developmental Disabilities,,Developmental Disabilities,Developmental Disabilities Council of Oklahoma,(405) 521-4984 ,,(405) 521-4910,"2401 NW 23rd Street, Suite 74  ",Oklahoma City,OK,73107,,The Developmental Disabilities Council of Oklahoma is a place for families and individuals to connect to information when learning about a disability.
Developmental Disabilities,,Developmental Disabilities,Canine Companions for Independence,800-572-2275,,,,,,,https://www.cci.org/,Canine Companions for Independence is a non-profit organization that enhances the lives of people with disabilities by providing highly trained assistance dogs at no charge to the recipient.
Developmental Disabilities,,Developmental Disabilities,MPACT,800-743-7634,,,,,,,www.ptimpact.org,Mentor group for parents to assist their children w/special needs in the school system
Early Childhood Services,,Early Childhood Services,Cerebral Palsy Center of Tri-County,417-673-4940,,,1401 W. Austin St ,Webb City,MO,64870,,Developmental programming for infants & children w/developmental disabilities 6 months - 6 years
Early Childhood Services,,Early Childhood Services,Early Head Start,417-781-0352,,,302 Joplin Ave,Joplin,MO,64801,,"Home visiting services for prenatal women and children birth-3 yrs. old, parenting resources, child development information, socialization activities. "
Early Childhood Services,,Early Childhood Services,Early Head Start,417-451-5507,,,116 N. Jefferson                                                                   Neosho,Neosho,MO,64850,,"Home visiting services for prenatal women and children birth-3 yrs. old, parenting resources, child development information, socialization activities. "
Early Childhood Services,,Early Childhood Services,Family Literacy Council,417-358-5926,,,,,MO,,https://www.facebook.com/CarthageFamilyLiteracyCouncil/,Program that promotes early reading to babies and young children.
Early Childhood Services,,Early Childhood Services,First Steps,417-623-3243,,,2312 Annie Baxter,Joplin,MO,64804,,Provide in home services for children birth to 3 yrs. old who have been diagnosed w/a developmental delay.  Some fees may apply.  
Early Childhood Services,,Early Childhood Services,Head Start - Economic Security,417-781-4497,,,1200 N. Main St ,Joplin,MO,64801,,"Preschool services for children 3-5 yrs. old typically from low income families, parenting resources, resource referral."
